id,recipe_id,ingredient,weight_lbs,user_id
714,250,'Wheat Malt, White (Rahr)',5.6,1
715,250,'Pilsner, German (Saltzgitter)',3.75,1
716,250,0 - None,0,1
717,250,0 - None,0,1
718,250,0 - None,0,1
719,251,2-Row Malt (Rahr),10,1
720,251,2-Row Brewers Malt (Briess),4,1
721,251,0 - None,0,1
722,251,0 - None,0,1
723,251,0 - None,0,1
874,282,'Pilsner, German (Saltzgitter)',12.5,1
875,282,Caramel_80 (Briess),0.75,1
876,282,'Candi Sugar, Blonde (Soft)',1,1
877,282,0 - None,0,1
878,282,0 - None,0,1
907,315,0 - None,0,1
908,315,0 - None,0,1
909,315,0 - None,0,1
910,315,0 - None,0,1
911,315,0 - None,0,1
749,257,2-Row Malt (Rahr),10,1
750,257,Caramel_40 (Briess),0.75,1
751,257,0 - None,0,1
752,257,0 - None,0,1
753,257,0 - None,0,1
937,321,Pale Ale Malt (Briess),9,19
938,321,Rye Malt (Weyermann),1,19
939,321,Chocolate Rye (Weyermann),0.25,19
940,321,'Crystal, Medium (Simpsons)',0.25,19
941,321,Special Roast (Briess),0.25,19
699,247,0 - None,0,1
700,247,0 - None,0,1
701,247,0 - None,0,1
702,247,0 - None,0,1
703,247,0 - None,0,1
704,248,0 - None,0,1
705,248,0 - None,0,1
706,248,0 - None,0,1
707,248,0 - None,0,1
708,248,0 - None,0,1
709,249,0 - None,0,1
710,249,0 - None,0,1
711,249,0 - None,0,1
712,249,0 - None,0,1
713,249,0 - None,0,1
789,265,2-Row Malt (Rahr),9,19
790,265,Pilsen (Franco-Belges),5,19
791,265,'Candi Sugar, Blonde (Soft)',1,19
792,265,CaraAroma (Weyermann),0.125,19
793,265,CaraAmber (Weyermann),0.125,19
