id,recipe,style,notes,user_id
393,Cris_IPA,American IPA,"[{""insert"":""Take some notes here. :)\n""}]",1
340,Belgian Tripel,Belgian Tripel,"[{""insert"":""# Belgian Tripel\n\n> [BJCP Notes](https://www.bjcp.org/2008styles/style18.php#1c):\n\n**Aroma:** Complex with moderate to significant spiciness, moderate fruity esters and low alcohol and hop aromas. Generous spicy, peppery, sometimes clove-like phenols. Esters are often reminiscent of citrus fruits such as oranges, but may sometimes have a slight banana character. A low yet distinctive spicy, floral, sometimes perfumy hop character is usually found. Alcohols are soft, spicy and low in intensity. No hot alcohol or solventy aromas. The malt character is light. No diacetyl.\n\n**Appearance:** Deep yellow to deep gold in color. Good clarity. Effervescent. Long-lasting, creamy, rocky, white head resulting in characteristic “Belgian lace” on the glass as it fades.\n\n**Flavor:** Marriage of spicy, fruity and alcohol flavors supported by a soft malt character. Low to moderate phenols are peppery in character. Esters are reminiscent of citrus fruit such as orange or sometimes lemon. A low to moderate spicy hop character is usually found. Alcohols are soft, spicy, often a bit sweet and low in intensity. Bitterness is typically medium to high from a combination of hop bitterness and yeast-produced phenolics. Substantial carbonation and bitterness lends a dry finish with a moderately bitter aftertaste. No diacetyl.\n\n**Mouthfeel:** Medium-light to medium body, although lighter than the substantial gravity would suggest (thanks to sugar and high carbonation). High alcohol content adds a pleasant creaminess but little to no obvious warming sensation. No hot alcohol or solventy character. Always effervescent. Never astringent.\n\n**Overall Impression:** Strongly resembles a Strong Golden Ale but slightly darker and somewhat fuller-bodied. Usually has a more rounded malt flavor but should not be sweet.\n\n**Comments:** High in alcohol but does not taste strongly of alcohol. The best examples are sneaky, not obvious. High carbonation and attenuation helps to bring out the many flavors and to increase the perception of a dry finish. Most Trappist versions have at least 30 IBUs and are very dry. Traditionally bottle-conditioned (“refermented in the bottle”).\n\n**History:** Originally popularized by the Trappist monastery at Westmalle.\n\n**Ingredients:** The light color and relatively light body for a beer of this strength are the result of using Pilsner malt and up to 20% white sugar. Noble hops or Styrian Goldings are commonly used. Belgian yeast strains are used – those that produce fruity esters, spicy phenolics and higher alcohols – often aided by slightly warmer fermentation temperatures. Spice additions are generally not traditional, and if used, should not be recognizable as such. Fairly soft water.\n\n\n\n|Vital Statistics:|OG:   |1.075 – 1.085    |\n|-------------------|----------|-------------------------|\n|IBUs:       |20 – 40|FG: 1.008 – 1.014|\n|SRM:       |4.5 – 7 |ABV: 7.5 – 9.5%  |\n\n**Commercial Examples:** Westmalle Tripel, La Rulles Tripel, St. Bernardus Tripel, Chimay Cinq Cents (White), Watou Tripel, Val-Dieu Triple, Affligem Tripel, Grimbergen Tripel, La Trappe Tripel, Witkap Pater Tripel, Corsendonk Abbey Pale Ale, St. Feuillien Tripel, Bink Tripel, Tripel Karmeliet, New Belgium Trippel, Unibroue La Fin du Monde, Dragonmead Final Absolution, Allagash Tripel Reserve, Victory Golden Monkey\n\n## Some Notes for Kyle:\n\nI based this off of this recipe [Belgian Tripel](https://cdn.shopify.com/s/files/1/2785/6868/t/3/assets/AGBelgianTripel-1532550003516.pdf?15312953531469411038)\n315,new recipe_bb,American Amber Ale,Enter New Recipe Notes\n\n<!--\n \n<img style=\""transform: rotate(90deg);\"" src=\""https://thegratefulbrauer.s3.amazonaws.com/recipe_description_images/cbearce/recipes/IPA/shiloh%20green%20grass.jpg\"" alt=\""Smiley face\"" height=\""300\"" width=\""300\"">\n\n-->\n""}]",1
350,NB_Nightfall_Black_Saison,Saison,"[{""insert"":""Great tasting right before bottling. \nPredicted Original Gravity from recipe was 1.060. My O.G. was 1.0635 at 5.5 Gals of wort.\nActual Final Gravity 1.0055.\nActual AVB=7.6%\nThe Brewculator calculated OG: 1.070, FG: 1.007 and ABV of 8.3% with extraction efficiency of 73.5.\nI changed the extraction efficiency to 67 to get the ABV to match my actual result of 7.6% and that recalculated the OG: to 1.064 and the FG: to 1.006 which more closely matches my results. Interesting.\n""}]",19
344,Belgian Tripel (Jan 2020),Belgian Tripel,"[{""insert"":""Targeting about 34 IBU to 81 GU, with Challenger as the primary bittering hop and Styrian Goldings as the flavor hop. We were originally planning to only use Styrian Golding, but found out the AA% = 2.5% when we got to the store and had already bought 2 oz of it. So we are going to use 1.5 oz of the Styrian Golding for bittering, the remaining 0.5oz for flavoring, and then an additional 1 oz of Challenger to get to the 34 IBU. Note: At the time, the hop calculations weren't working so ignore the IBU numbers here. Same for water and chemistry.\n\nFermentation: Given that the yeast (WLP530) is from Westmalle, I figure let's just use the Westmalle Tripel fermentation schedule from page 72-74 in Brew Like a Monk: Yeast pitched at 64F, allowed to rise to 68F for 5-6 days, and then 4 weeks lagering at 46F, before being carbonated to 3-4 volumes for 3 weeks at 70-73F. The phrase \""allowed to rise\"" I think means to closely monitor it and not let it exceed some temperature. The book also warns about bad results when trying to slow the yeast down, so we'd almost have to be proactive in temperature control.\n""}]",22
247,IPA,American Amber Ale,"[{""insert"":""Take some notes here. :)\n""}]",1
346,Apple C(rum?)b Cake,Imperial IPA,"[{""insert"":""Take some notes here. :)\n""}]",22
248,Dortmund Export,American Amber Ale,"[{""insert"":""Take some notes here. :)\n""}]",1
249,Cream Ale,American Amber Ale,"[{""insert"":""Take some notes here. :)\n""}]",1
250,Gose,Gueuze,"[{""insert"":""Take some notes here. :)\n""}]",1
251,LP,American Amber Ale,"[{""insert"":""Take some notes here. :)\n""}]",1
257,West Coast IPA,American IPA,"[{""insert"":""Take some notes here. :)\n""}]",1
265,CB_Belgian Tripel,Belgian Tripel,"[{""insert"":""Take some notes here. :)\n""}]",19
321,CB_Private Rye Brown Ale,RyePA,"[{""insert"":""Take some notes here. :)\n""}]",19
