id,recipe_id,init_Ca,init_Mg,init_Na,init_Cl,init_SO4,init_HCO3_CaCO3,actual_ph,effective_alkalinity,residual_alkalinity,ph_down_gypsum_CaSO4,ph_down_cal_chl_CaCl2,ph_down_epsom_salt_MgSO4,ph_up_slaked_lime_CaOH2,ph_up_baking_soda_NaHCO3,ph_up_chalk_CaCO3,user_id
174,250,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,1
175,251,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,1
181,257,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,1
189,265,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,19
206,282,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,1
239,315,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,1
245,321,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,19
171,247,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,1
172,248,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,1
173,249,4,1,32,27,6,40,0,0,0,0,0,0,0,0,0,1
