1,Brewferm Blanche Ale Yeast,0,72,64,73,Low,,,Top-fermenting strain for Belgian witbier. Spicy and lightly phenolic.,,
2,Brewferm Lager Yeast,1,76,50,59,High,,,A dry lager yeast. Flocculation: high. Attenuation: high. Ferments clean and malty.,,
3,Coopers Ale Yeast,2,72,65,75,Medium,,,"A good all-round yeast for a variety of ales. Produces complex woody, fruity esters at warm temperatures; reported to be more heat tolerant than other strains.",,
4,Danstar Abbaye,2.125,75,63,77,Low,,,"Abbaye is an ale yeast of Belgian origin selected for its ability to produce great Belgian style beers including high gravity beers such as Dubbel, Trippel and Quads. The propagation and drying processes have been specifically designed to deliver high quality beer yeast that can be used simply and reliably to help produce ales of the finest quality. Complex aroma and flavors may include peppery, fruity, banana, clovy, alcoholic, sweet and fruity. Does not display undesirable odors when properly handled.",,
5,Danstar Belle Saison Yeast,2.25,80,63,77,Low,,,"Belle Saison is an ale yeast of Belgian origin selected for its ability to produce great Saison-style beer. The propagation and drying processes have been specifically designed to deliver high quality beer yeast that can be used simply and reliably to help produce ales of the finest quality. No colours, preservatives or other unnatural substances have been used in its preparation. The yeast is produced in ISO 9002-certified plants. Quick start and vigorous fermentation, which can be completed in 5 days above 17°C (63°F). High attenuation and high alcohol tolerance. Fermentation rate, fermentation time and degree of attenuation depend on inoculation density, yeast handling, fermentation temperature and nutritional quality of wort. Low flocculation rate; settling can be promoted by cooling and by using fining agents and isinglass. Saison beers are quite unique to brew. During fermentation, cooling is not normally used, allowing temperature of fermentation to increase. Aroma is fruity, spicy and peppery due to ester and phenol production, and does not display undesirable odours when properly handled.",,
6,Danstar BRY-97 American West Coast Yeast,2.5,72.5,62,72,Medium - High,,,"BRY-97 American West Coast Yeast was selected from the Siebel Institute Culture Collection and is used by a number of commercial breweries to produce different types of ale. The propagation and drying process have been specifically designed to deliver high quality beer yeast that can be used simply and with reliability to help produce ales of the finest quality. No colours, preservatives or other unnatural substances have been used in its preparation. The yeast is produced in ISO 9002 certified plants. Quick, clean, and well-attenuating are the chief properties of this yeast. It is most comparable to the ""Chico""-style strains. In our experience, this strain stays clean at relatively high temperatures (up to 78F), and flocculation is marginally better than other ""Chico"" strains. Due to the slightly higher flocculation tendencies, it does slightly reduce bittering levels in the finished beer.",,
7,Danstar Diamond Lager Yeast,3,74,50,59,Medium - High,,,"Diamond Lager yeast originated in Germany and is used by a number of commercial breweries to produce different types of lager.  The aroma and taste are almost neutral and do not display off-flavours when properly handled.  It may tend, because of flocculation, to slightly reduce hop bitter levels.",,
8,Danstar Munich Wheat Beer Yeast,4,74,60,70,Low,,,Munich German Wheat Beer yeast originated in Bavaria and is used by a number of commercial breweries to produce German-style wheats beers.  Aroma estery to both palate and nose with typical banana notes.,Weizen Hefe Weizen,
9,Danstar Nottingham Ale Yeast,5,76,60,70,Medium - High,,,"Nottingham British Ale yeast is a single strain selected from a multiple commercial culture used in the UK.  The aroma is slightly estery, almost neutral and does not display malodours when properly handled.  Because of flocculation, it may tend to slightly reduce hop bitter levels.",,
10,Danstar Windsor Ale Yeast,6,70,60,70,Low,,,"Windsor British Ale yeast originated in the UK and is used by a number of commercial breweries to produce different types of ale.  The aroma is estery to both palate and nose, and is usually described as full bodied, fruity British ale.","   Bitter
   Stout
   Weizen
   Hefe Weizen",
11,ECY07 East Coast Yeast Scottish Heavy,6.3,78.5,60,68,,,,"Leaves a fruity profile with woody, oak esters reminiscent of malt whiskey. Well suited for 90/ shilling or heavier ales including old ales and barleywines due to the level of attenuation.",,
12,ECY08 East Coast Yeast Saison Brasserie,6.35,80,75,85,,,,A combination of several saison yeast strains for both fruity and spicy characteristics accompanied with dryness ,,
13,ECY09 East Coast Yeast Belgian Abbaye,6.4,75,66,72,,,,"This yeast produces classic Belgian-style ales - robust, estery with a large note of clove and fruit. Rated highly in sensory tests described in ""Brew Like a Monk"" for complexity and low production of higher alcohols.",,
14,ECY10 East Coast Yeast Old Newark Ale,6.45,76,60,68,,,,"Sourced from a defunct east coast brewery, this pure strain was identified as their ""ale-pitching yeast"". Good for all styles of American and English ales with high flocculation and a compact sedimentation",,
15,ECY11 East Coast Yeast Belgian White,6.5,76,70,76,,,,"Isolated from the Hainaut region in Belgium, this pure yeast will produce flavors reminiscent of witbiers.",,
16,ECY12 East Coast Yeast Old Newark Beer,6.55,78,58,68,,,,"Sourced from the same east coast brewery as ECY10, this was identified as their ""beer-pitching yeast"" (i.e. lager yeast). The strain was identified as S. cerevisae, hence it is not a true lager yeast, but can ferment at lager fermentation temperatures. Clean and crisp when fermented at 58-68F",,
17,ECY13 East Coast Yeast Belgian Abbaye 2,6.6,75,66,72,,,,"Traditional Belgian yeast with a complex, dry, fruity malt profile. Rated highly in sensory tests described in ""Brew Like a Monk"" for complexity and low production of higher alcohols.",,
18,ECY14 East Coast Yeast Saison Single,6.65,77,75,82,,,,"This strain leaves a smooth, full farmhouse character with mild esters reminiscent of apple pie spice.",,
19,ECY17 East Coast Yeast Burton Union,6.75,74,64,69,,,,"Produces a bold, citrusy character which accentuates mineral and hop flavors. Well suited for classic English pale ales and ESB.",,
20,ECY18 East Coast Yeast British Mild,6.8,68,60,68,,,,This yeast has a complex woody ester and is typically under-attenuating (does not ferment malto-triose) leaving a pronounced malt profile with a slight sweetness that is perfect for milds and bitters.,,
21,ECY21 East Coast Yeast Kolschbier,6.9,76.5,58,66,,,,"Produces a clean lager-like profile at ale fermentation temperatures. Smooth mineral and malt flavors come through with a clean, lightly yeasty flavor and aroma in the finish.",,
22,ECY28 East Coast Yeast Kellerbier,6.91,75,46,54,,,,"This yeast exhibits a clean, crisp lager in the traditional northern German character. Use in German pilsners including Kellerbier.",,
23,ECY29 East Coast Yeast Northeast Ale,6.92,74,65,70,Low,,,"A unique ale yeast with an abundance of citrusy esters accentuating American-style hops in any pale ale, IPA, double IPA.",,
24,ECY34 East Coast Yeast Dirty Dozen Brett Blend,9.95,80,60,74,,,,"Twelve (12) different isolates of Brettanomyces exhibiting high production of barnyard ""funk"" and esters. Dryness, ripe fruit, and acidity will be encountered over a period of months and over time (>1 yr), may display gueuze-like qualities in complexity. Contains various isolates from lambic-producers, B. bruxellensis, B. anomala, B. lambicus, and B. naardenensis.  For those who want the most from Brett yeast, whether a 100% Brett fermentation is desired or adding to secondary aging projects.",,
25,Muntons Ale Yeast,7,72,57,77,Low,,,Good all-purpose ale yeast,,
26,Red Star Cote Des Blancs,8,90,64,68,Medium,12,14,"AKA Geisenheim Epernay. A low foaming slower speed fermenter with low alcohol tolerance. This strain emphasizes fruit character in both reds and whites making it an excellent choice for fruit wines, especially apple. If fermented at cooler temperatures it will not ferment to dryness producing a sweeter wine with some residual sugar. For the production of Chardonnay use in conjunction with yeast nutrient. Sweet whites, fruit wines. Temperature range: 64-86 F. Alcohol Tolerance: 12-14%.",,
27,Safale K-97 Dry Ale,9,68,59,75,Low,,,A German ale yeast selected for its ability to form a large firm head when fermenting. This top cropping ale yeast is suitable for top fermented beers with low esters levels and can be used for Belgian type wheat beers.,,
28,Safale S-04 Dry Ale,10,72,59,75,High,,,"A well-known, commercial English ale yeast, selected for its fast fermentation character and its ability to form a very compact sediment at the end of the fermentation, helping to improve beer clarity. This yeast is recommended for the production of a large range of ale beers and is specially well adapted to cask-conditioned ales and fermentation in cylindro-conical tanks.",,
29,Safale US-05 Fermentis Dry Ale,11,72,59,75,Low - Medium,,,"A ready-to-pitch dry American ale yeast. Safale US-05 produces well balanced beers with low
diacetyl and a very clean, crisp end palate.",,
30,Safbrew S-33 Dry Brewing Yeast,12,76,59,75,Medium,11.5,11.5,"A very popular general purpose yeast, displaying both very robust conservation properties and consistent performance. This yeast produces superb flavour profiles and is used for the production of a varied range of top fermented special beers (Belgian type wheat beers, Trappist, etc.).  Also recommended for bottle-conditioning of beers. Excellent performance in beers with alcohol contents of up to 7.5% v/v but can ferment up to 11.5% v/v.",,
